name,itemType,shellfish,egg,fish,dairy,molluscs,mustard,peanuts,sesame,soy,sulphites,treeNuts,wheat,gluten,vegetarian,vegan,Image
Three Pepper Wings,CASUAL PLATES + BAR SNACKS,0,2,2,2,0,2,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/wczuON0MEnIlVkyMZkUh.png
Shrimp Cocktail,CASUAL PLATES + BAR SNACKS,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/0jZtz4fPzVgzRFzZfNBH.png
Calamari,CASUAL PLATES + BAR SNACKS,2,0,0,2,2,0,0,0,0,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/QSb92f3nUL06Ltb1Ljy5.png
Loaded Nachos - Cheese,CASUAL PLATES + BAR SNACKS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/TQUG68z8EdtSEqFlX1Rj.png
Loaded Nachos - Chicken,CASUAL PLATES + BAR SNACKS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/qhPKxE1SBcvNPKEnZpHA.png
Loaded Nachos - Beef,CASUAL PLATES + BAR SNACKS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/nWdoc2noDlXbbOz0K6Gm.png
Prime Rib Sandwich,CASUAL PLATES + BAR SNACKS,0,2,2,2,0,0,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/oBWA1PV4h0N2Ru4quM9D.png
Prime Rib Sliders,CASUAL PLATES + BAR SNACKS,0,2,0,2,0,2,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/bPcWesk0hc6CRECN61io.png
Keg Burger,CASUAL PLATES + BAR SNACKS,0,2,0,2,0,2,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/2CcjoEVmP5zm21ZsOAYy.png
Garlic Cheese Toast,CASUAL PLATES + BAR SNACKS,0,2,0,2,0,0,0,0,0,0,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/f9HN1DzIKIJxGK9jvHt8.png
Parmesan Potato Puffs,CASUAL PLATES + BAR SNACKS,0,2,0,2,0,0,0,0,0,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/ap1UujzJIJFNKstyAJQ8.png
Kids Burger,KIDS,0,2,0,2,0,0,0,0,2,0,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/7kx2TkwmAT3TjtX1Zae7.png
Kids Chicken Strips,KIDS,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/rIVMWXlNyacUyj4E4uRi.png
Kids Cheesy Noodles,KIDS,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/glfKKXvn2DFJfSliVQU4.png
Kids Sirloin - 6 oz,KIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/5a78gSM5sUABHW7jo1Ly.png
Kids Plate,KIDS,0,0,0,2,0,0,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/M23EvZuFDkZ6zSlV7Mdh.png
